version,order,procs,time_ms,speedup,efficiency,nodes,solution,length
4,8,16,693.49,0,0,62490,"[0, 2, 12, 19, 25, 30, 33, 34]",34
4,8,32,845.21,0,0,66633,"[0, 2, 12, 19, 25, 30, 33, 34]",34
4,8,4,338.98,0,0,52632,"[0, 1, 4, 9, 15, 22, 32, 34]",34
4,8,8,582.90,0,0,46143,"[0, 1, 4, 9, 15, 22, 32, 34]",34
3,9,16,4319.90,0,0,300112,"[0, 1, 5, 12, 25, 27, 35, 41, 44]",44
3,9,32,883.93,0,0,315954,"[0, 1, 5, 12, 25, 27, 35, 41, 44]",44
3,9,8,2464.55,0,0,298196,"[0, 1, 5, 12, 25, 27, 35, 41, 44]",44
4,9,16,879.54,0,0,628373,"[0, 3, 9, 17, 19, 32, 39, 43, 44]",44
4,9,32,883.00,0,0,555379,"[0, 1, 5, 12, 25, 27, 35, 41, 44]",44
4,9,4,397.99,0,0,330151,"[0, 1, 5, 12, 25, 27, 35, 41, 44]",44
4,9,8,902.02,0,0,465016,"[0, 1, 5, 12, 25, 27, 35, 41, 44]",44
