version,order,mpi_procs,omp_threads,total_workers,time_ms,nodes,pruned,solution,length
4,10,4,8,32,37.95,2890875,6164288,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
4,10,4,8,32,38.09,2993924,6352636,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
