version,order,mpi_procs,omp_threads,total_workers,time_ms,nodes,pruned,solution,length
3,12,8,16,128,24885.39,358315698,1006143071,"[0, 2, 6, 24, 29, 40, 43, 55, 68, 75, 76, 85]",85
3,12,8,16,128,26361.10,358348951,1006201208,"[0, 2, 6, 24, 29, 40, 43, 55, 68, 75, 76, 85]",85
