version,order,mpi_procs,omp_threads,total_workers,time_ms,nodes,pruned,solution,length
3,12,4,8,32,9481.22,358212763,1005995697,"[0, 2, 6, 24, 29, 40, 43, 55, 68, 75, 76, 85]",85
3,12,4,8,32,9556.71,358206366,1005986712,"[0, 2, 6, 24, 29, 40, 43, 55, 68, 75, 76, 85]",85
