version,order,threads,time_ms,nodes_explored,nodes_pruned,solution,length
2,8,96,19.81,35609,57423,"[0, 1, 4, 9, 15, 22, 32, 34]",34
2,8,96,20.62,36366,59178,"[0, 1, 4, 9, 15, 22, 32, 34]",34
