version,order,mpi_procs,omp_threads,total_workers,time_ms,nodes,pruned,solution,length
5,10,16,1,16,87.44,3949265,8248719,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
5,10,16,1,16,87.06,3938763,8226510,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
