version,order,mpi_procs,omp_threads,total_workers,time_ms,nodes,pruned,solution,length
5,11,128,1,128,625.80,44916045,107233017,"[0, 1, 9, 19, 24, 31, 52, 56, 58, 69, 72]",72
5,11,128,1,128,613.47,53029164,125204587,"[0, 1, 9, 19, 24, 31, 52, 56, 58, 69, 72]",72
